Image index,NumFibers,MMA,Vf,A11,A12,A13,A22,A23,A33,Elongation,Yield strength
764,18.0,2.11417013580942,0.486357287903092,0.9985,4.753e-06,1.313e-05,0.0006199,0.0001024,0.0009063,0.0012635548898838,142.45495298431683
193,25.0,0.484821174,0.550016167,0.9999,-3.97e-08,-8.02e-08,4.01e-05,-2.77e-06,4.17e-05,0.008633029,1104.905251
891,16.0,3.663609635,0.433006327,0.9953,3.79e-05,-5.48e-05,0.00198,0.0002772,0.002715,0.000482937,47.21600443
781,25.0,4.2677968,0.401209942,0.994,-1.98e-05,5.23e-05,0.002659,-0.0007883,0.003342,0.000416949,37.00739247
151,25.0,0.698919601,0.450029402,0.9998,-1.09e-07,-3.89e-08,8.06e-05,-8.24e-06,0.0001028,0.005784279,608.9116868
95,25.0,0.0,0.624993713,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.009498576,1377.72006
144,25.0,0.604196051,0.42502615,0.9999,-1.08e-07,2.79e-09,7.36e-05,4.03e-06,6.17e-05,0.009453749,942.7562931
715,19.0,3.73054697,0.41906145,0.9949,3.32e-05,5.57e-06,0.002599,0.0002368,0.002475,0.00048562,45.56008175
640,15.0,2.19129362,0.405325641,0.9983,-1.1e-05,-5.85e-06,0.000962,-0.0001702,0.0007156,0.00081832,76.96759815
24,26.0,0.0,0.467994518,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.016781406,1838.208912
329,25.0,0.996148318,0.550091345,0.9996,-2.38e-07,-1.76e-07,0.0001552,-3.72e-05,0.0002035,0.004865239,621.3997662
219,25.0,0.64414605,0.600038313,0.9998,1.39e-07,1.8e-07,5.46e-05,-2.52e-05,9.77e-05,0.006122456,852.2154439
188,25.0,0.6399814,0.525028084,0.9999,-1.52e-07,7.48e-08,6.32e-05,-9.47e-06,5.7e-05,0.006314695,772.1693126
35,25.0,0.0,0.47499734,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.01209374,1343.83261
96,25.0,0.0,0.624995907,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.006580298,954.3877004
867,17.0,3.27282155,0.408691752,0.9966,1.48e-05,5.04e-05,0.001535,0.000615,0.001826,0.000538629,50.51226325
557,22.0,3.15080443782059,0.418644523639102,0.9969,-5.807e-06,1.33e-05,0.001519,0.0001507,0.001582,0.0006436970856052,61.59183317284821
467,24.0,1.767477514,0.55228638,0.9989,-1.22e-06,2.8e-06,0.0004376,-4.47e-05,0.0006168,0.001285034,163.7984465
372,19.0,1.301427932,0.513132295,0.9995,7.66e-07,-1.65e-06,0.0003218,-3.21e-05,0.0002244,0.003092296,368.9263655
130,22.0,0.0,0.615994014,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.007592909,1085.752659
88,25.0,0.0,0.599965569,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.00943446,1315.125063
589,21.0,2.020949257,0.462320307,0.9986,3.64e-06,-2.47e-06,0.0008327,4.97e-05,0.0005725,0.000771369,82.61243852
828,22.0,3.307103608,0.441007889,0.9954,-7.25e-05,8.2e-05,0.001505,-0.0008404,0.003064,0.00066646,67.03427348
480,20.0,1.82893023833863,0.480276562707255,0.9988,-7.819e-06,-3.201e-07,0.0006513,0.0001435,0.0005234,0.0021099645891143,232.41829048011823
